disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,fatigue,abdominal pain,dehydration,chills,sweating,general discomfort,fever,irritability
norovirus infection,diarrhea,stomach cramps,headache,abdominal pain,loss of appetite,chills,sweating,rashes,,,,
norovirus infection,vomiting,muscle aches,loss of appetite,dehydration,sweating,general discomfort,fever,,,,,
roseola,runny nose,rash,irritability,swollen lymph nodes,sore throat,cough,diarrhea,abdominal pain,body aches,rashes,,
shigellosis (bacillary dysentery),fever,vomiting,bloody stools,headache,dehydration,loss of appetite,body aches,feverish,chills,,,
"hand, foot, and mouth disease",sores in mouth,loss of appetite,irritability,mouth sores,blisters,fatigue,general discomfort,difficulty swallowing,,,,
roseola,high fever,runny nose,swollen lymph nodes,headache,cough,red eyes,vomiting,loss of appetite,rashes,chills,,
mumps,pain while chewing or swallowing,fever,tiredness,loss of appetite,testicle pain and tenderness,headache,muscle aches,tiredness,loss of appetite,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,fatigue,dehydration,chills,sweating,rashes,fever,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,stomach cramps,headache,loss of appetite,general discomfort,joint pain,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,loss of appetite,dehydration,chills,body aches,general discomfort,,,
norovirus infection,diarrhea,vomiting,stomach cramps,dehydration,sweating,body aches,rashes,fever,,,,
"hand, foot, and mouth disease",fever,irritability,mouth sores,fatigue,cough,general discomfort,difficulty swallowing,,,,,
common cold,"stuffy, runny nose","scratchy, tickly throat",sneezing,watering eyes,sore throat,mild hacking cough,headache,mild fatigue,chills,,,
norovirus infection,fatigue,abdominal pain,chills,sweating,body aches,fever,,,,,,
roseola,high fever,rash,fatigue,swollen lymph nodes,sore throat,headache,red eyes,vomiting,abdominal pain,body aches,rashes,chills,feverish
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,fatigue,muscle aches,body aches,rashes,chills,,,
roseola,high fever,runny nose,irritability,headache,cough,body aches,chills,,,,,
norovirus infection,diarrhea,low-grade fever,nausea,headache,loss of appetite,sweating,rashes,general discomfort,irritability,,,
pertussis (whooping cough),whooping cough,sneezing,sneezing,runny nose,vomiting after coughing,fatigue,,,,,,
roseola,rash,fatigue,headache,cough,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,fatigue,loss of appetite,body aches,feverish,rashes,general discomfort,joint pain,,
roseola,rash,fatigue,headache,red eyes,vomiting,loss of appetite,chills,feverish,,,,
norovirus infection,stomach cramps,nausea,headache,dehydration,body aches,rashes,general discomfort,fever,irritability,,,
norovirus infection,stomach cramps,low-grade fever,headache,abdominal pain,loss of appetite,dehydration,chills,body aches,rashes,general discomfort,,
mumps,headache,fever,loss of appetite,testicle pain and tenderness,headache,muscle aches,tiredness,,,,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,stomach cramps,headache,dehydration,loss of appetite,general discomfort,joint pain,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,dehydration,loss of appetite,body aches,feverish,chills,joint pain,
norovirus infection,stomach cramps,low-grade fever,muscle aches,headache,fatigue,loss of appetite,dehydration,chills,sweating,body aches,rashes,general discomfort,irritability
roseola,rash,fatigue,headache,cough,red eyes,diarrhea,loss of appetite,abdominal pain,chills,,,
roseola,runny nose,irritability,fatigue,sore throat,headache,red eyes,diarrhea,vomiting,loss of appetite,,,
norovirus infection,diarrhea,low-grade fever,nausea,headache,sweating,body aches,general discomfort,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,fatigue,chills,sweating,rashes,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,headache,feverish,general discomfort,chills,,,,,
norovirus infection,diarrhea,nausea,abdominal pain,loss of appetite,chills,body aches,rashes,general discomfort,irritability,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,stomach cramps,fatigue,muscle aches,body aches,rashes,,,
norovirus infection,diarrhea,vomiting,muscle aches,headache,loss of appetite,dehydration,chills,sweating,rashes,general discomfort,irritability,
roseola,high fever,rash,irritability,swollen lymph nodes,headache,cough,red eyes,vomiting,abdominal pain,body aches,feverish,
roseola,high fever,runny nose,swollen lymph nodes,sore throat,headache,loss of appetite,body aches,chills,feverish,,,
norovirus infection,headache,abdominal pain,loss of appetite,dehydration,chills,rashes,fever,,,,,
common cold,sneezing,achy muscles and bones,headache,chills,,,,,,,,
norovirus infection,vomiting,low-grade fever,muscle aches,loss of appetite,dehydration,body aches,rashes,fever,irritability,,,
norovirus infection,vomiting,fatigue,abdominal pain,loss of appetite,chills,sweating,body aches,rashes,fever,,,
shigellosis (bacillary dysentery),fever,muscle aches,body aches,general discomfort,chills,joint pain,,,,,,
mumps,"swollen, painful salivary glands",pain while chewing or swallowing,fever,fever,muscle aches,loss of appetite,,,,,,
roseola,high fever,runny nose,fatigue,sore throat,headache,cough,red eyes,vomiting,abdominal pain,rashes,,
"hand, foot, and mouth disease",fever,mouth sores,red spots,blisters,fatigue,headache,,,,,,
mumps,headache,fever,testicle pain and tenderness,loss of appetite,,,,,,,,
shigellosis (bacillary dysentery),diarrhea,stomach cramps,headache,dehydration,loss of appetite,muscle aches,body aches,rashes,general discomfort,,,
shigellosis (bacillary dysentery),fever,stomach cramps,headache,fatigue,muscle aches,body aches,feverish,rashes,general discomfort,,,
norovirus infection,diarrhea,stomach cramps,nausea,headache,loss of appetite,dehydration,sweating,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,fatigue,loss of appetite,muscle aches,body aches,general discomfort,joint pain,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,fatigue,muscle aches,body aches,rashes,chills,joint pain,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,sore throat,vomiting,loss of appetite,body aches,feverish,,,
roseola,runny nose,irritability,cough,diarrhea,vomiting,feverish,,,,,,
"hand, foot, and mouth disease",fever,sores in mouth,loss of appetite,irritability,sore throat,red spots,blisters,fatigue,cough,headache,general discomfort,
roseola,runny nose,fatigue,sore throat,headache,cough,red eyes,loss of appetite,abdominal pain,rashes,chills,feverish,
roseola,runny nose,rash,swollen lymph nodes,sore throat,diarrhea,vomiting,rashes,chills,feverish,,,
norovirus infection,low-grade fever,muscle aches,headache,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,general discomfort,
norovirus infection,stomach cramps,muscle aches,nausea,headache,abdominal pain,dehydration,sweating,body aches,rashes,irritability,,
pertussis (whooping cough),nasal discharge,fever,"sore, watery eyes","cyanosis (blue lips, tongue, nailbeds)",exhaustion,sneezing,low-grade fever,runny nose,severe coughing fits,vomiting after coughing,,
shigellosis (bacillary dysentery),fever,headache,dehydration,loss of appetite,rashes,general discomfort,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,stomach cramps,headache,dehydration,loss of appetite,feverish,joint pain,,,
roseola,rash,irritability,fatigue,sore throat,headache,diarrhea,vomiting,body aches,rashes,feverish,,
scarlet fever,swollen glands,sore throat,strawberry tongue,pale skin around lips,fever (100.4�f / 38.0�c or higher),difficulty swallowing,abdominal pain,,,,,
roseola,high fever,swollen lymph nodes,sore throat,headache,diarrhea,loss of appetite,chills,feverish,,,,
norovirus infection,headache,dehydration,sweating,irritability,,,,,,,,
"hand, foot, and mouth disease",sores in mouth,irritability,sore throat,cough,sore muscles,headache,general discomfort,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,stomach cramps,headache,fatigue,muscle aches,body aches,general discomfort,joint pain,
norovirus infection,diarrhea,low-grade fever,headache,dehydration,chills,general discomfort,fever,,,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,chills,feverish
norovirus infection,diarrhea,stomach cramps,nausea,fatigue,sweating,rashes,general discomfort,irritability,,,,
roseola,high fever,runny nose,rash,cough,diarrhea,loss of appetite,abdominal pain,rashes,feverish,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,headache,dehydration,loss of appetite,feverish,rashes,joint pain,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,headache,fatigue,body aches,general discomfort,joint pain,,
scarlet fever,swollen glands,red rash on the body,sore and red throat with patches,difficulty swallowing,nausea or vomiting,,,,,,,
norovirus infection,low-grade fever,fatigue,abdominal pain,chills,sweating,general discomfort,fever,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,stomach cramps,headache,fatigue,loss of appetite,body aches,chills,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,abdominal pain,loss of appetite,dehydration,sweating,body aches,rashes
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,bloody stools,stomach cramps,dehydration,muscle aches,body aches,feverish,rashes,chills,joint pain
norovirus infection,vomiting,stomach cramps,headache,abdominal pain,loss of appetite,sweating,rashes,general discomfort,irritability,,,
shigellosis (bacillary dysentery),vomiting,bloody stools,stomach cramps,dehydration,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain,
common cold,"scratchy, tickly throat",watering eyes,sore throat,mild hacking cough,achy muscles and bones,mild fatigue,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,chills,joint pain
mumps,muscle aches,tiredness,trouble chewing,testicle pain and tenderness,headache,muscle aches,tiredness,,,,,
shigellosis (bacillary dysentery),nausea,dehydration,body aches,feverish,joint pain,,,,,,,
norovirus infection,vomiting,low-grade fever,muscle aches,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,fever,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,stomach cramps,dehydration,loss of appetite,muscle aches,body aches,rashes,general discomfort,
roseola,runny nose,irritability,swollen lymph nodes,cough,vomiting,abdominal pain,body aches,rashes,feverish,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,stomach cramps,fatigue,rashes,joint pain,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,headache,fatigue,loss of appetite,muscle aches,feverish,rashes,chills,,,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,headache,loss of appetite,chills,body aches,,,,
norovirus infection,vomiting,low-grade fever,nausea,fatigue,body aches,general discomfort,fever,,,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,loss of appetite,abdominal pain,body aches,chills
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,body aches,general discomfort,chills,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,headache,dehydration,sweating,body aches,rashes,general discomfort,fever
norovirus infection,diarrhea,nausea,headache,abdominal pain,loss of appetite,dehydration,chills,rashes,general discomfort,fever,,
norovirus infection,diarrhea,low-grade fever,muscle aches,fatigue,loss of appetite,dehydration,chills,sweating,body aches,rashes,fever,irritability
roseola,high fever,runny nose,irritability,headache,red eyes,diarrhea,abdominal pain,rashes,chills,feverish,,
"hand, foot, and mouth disease",sores in mouth,sore throat,red spots,blisters,fatigue,sore muscles,general discomfort,mild fever,,,,
roseola,runny nose,rash,sore throat,cough,red eyes,diarrhea,chills,,,,,
norovirus infection,diarrhea,nausea,headache,fatigue,abdominal pain,dehydration,sweating,rashes,fever,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,headache,dehydration,muscle aches,feverish,rashes,general discomfort,joint pain,
norovirus infection,diarrhea,vomiting,stomach cramps,nausea,fatigue,abdominal pain,sweating,general discomfort,fever,irritability,,
roseola,high fever,runny nose,rash,sore throat,diarrhea,body aches,rashes,feverish,,,,
norovirus infection,diarrhea,muscle aches,nausea,headache,chills,rashes,general discomfort,fever,irritability,,,
norovirus infection,vomiting,stomach cramps,fatigue,loss of appetite,dehydration,rashes,irritability,,,,,
roseola,high fever,fatigue,headache,cough,diarrhea,body aches,rashes,chills,,,,
rubella,rash,low fever,cough,sore throat,runny nose,headache,generally feeling unwell (malaise),swollen lymph nodes,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,fatigue,loss of appetite,muscle aches,body aches,rashes,general discomfort,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,cough,diarrhea,vomiting,rashes,chills,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,headache,abdominal pain,chills,sweating,general discomfort,fever,irritability
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,loss of appetite,muscle aches,rashes,general discomfort,chills,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,abdominal pain,rashes,chills,feverish
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,stomach cramps,fatigue,loss of appetite,,,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,vomiting,loss of appetite,rashes,feverish,,,
norovirus infection,diarrhea,vomiting,muscle aches,headache,dehydration,body aches,rashes,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,headache,dehydration,loss of appetite,muscle aches,body aches,general discomfort,,,
roseola,high fever,irritability,swollen lymph nodes,cough,vomiting,loss of appetite,body aches,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,headache,fatigue,dehydration,,,
shigellosis (bacillary dysentery),diarrhea,headache,fatigue,dehydration,muscle aches,body aches,rashes,chills,joint pain,,,
norovirus infection,vomiting,nausea,headache,fatigue,abdominal pain,chills,sweating,fever,irritability,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,abdominal pain,loss of appetite,dehydration,chills,body aches,fever
norovirus infection,vomiting,muscle aches,nausea,headache,body aches,general discomfort,fever,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,abdominal pain,loss of appetite,body aches,general discomfort,fever,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,fatigue,dehydration,muscle aches,rashes,general discomfort,chills,joint pain,,
norovirus infection,diarrhea,vomiting,muscle aches,nausea,fatigue,abdominal pain,body aches,general discomfort,fever,irritability,,
roseola,high fever,irritability,sore throat,cough,loss of appetite,abdominal pain,chills,feverish,,,,
roseola,runny nose,fatigue,swollen lymph nodes,cough,red eyes,vomiting,body aches,chills,,,,
roseola,runny nose,rash,fatigue,swollen lymph nodes,headache,diarrhea,loss of appetite,abdominal pain,,,,
conjunctivitis (pink eye),redness in the white of the eye (sclera) or inner eyelid,sensation of a foreign object in the eye,dry or watery eyes (epiphora),burning sensation in the eyes,blurred vision (intermittent),,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,headache,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,irritability
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,headache,fatigue,dehydration,feverish,general discomfort,,,
norovirus infection,vomiting,low-grade fever,abdominal pain,dehydration,sweating,general discomfort,fever,,,,,
shigellosis (bacillary dysentery),diarrhea,vomiting,stomach cramps,headache,dehydration,muscle aches,rashes,chills,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,stomach cramps,fatigue,dehydration,body aches,rashes,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,muscle aches,body aches,feverish,general discomfort,chills,,
"hand, foot, and mouth disease",loss of appetite,irritability,cough,sore muscles,general discomfort,difficulty swallowing,,,,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,vomiting,abdominal pain,rashes,feverish
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,headache,fatigue,loss of appetite,dehydration,sweating,body aches,irritability
shigellosis (bacillary dysentery),fever,fatigue,dehydration,body aches,rashes,joint pain,,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,fatigue,abdominal pain,loss of appetite,sweating,body aches,rashes,general discomfort,irritability
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,body aches,feverish,chills,joint pain,,,,,,
roseola,runny nose,rash,swollen lymph nodes,sore throat,loss of appetite,abdominal pain,rashes,chills,feverish,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,irritability,mouth sores,red spots,blisters,fatigue,cough,sore muscles,mild fever,,
norovirus infection,vomiting,low-grade fever,nausea,fatigue,abdominal pain,sweating,general discomfort,irritability,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,chills,sweating,rashes,irritability,
norovirus infection,diarrhea,muscle aches,nausea,loss of appetite,dehydration,sweating,body aches,rashes,,,,
norovirus infection,vomiting,stomach cramps,muscle aches,fatigue,abdominal pain,dehydration,body aches,rashes,irritability,,,
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,headache,loss of appetite,muscle aches,feverish,rashes,chills,joint pain,
roseola,high fever,headache,diarrhea,loss of appetite,body aches,rashes,,,,,,
norovirus infection,low-grade fever,nausea,abdominal pain,general discomfort,irritability,,,,,,,
roseola,runny nose,rash,fatigue,swollen lymph nodes,headache,red eyes,vomiting,feverish,,,,
roseola,runny nose,rash,swollen lymph nodes,sore throat,headache,red eyes,vomiting,loss of appetite,body aches,rashes,chills,feverish
roseola,high fever,rash,irritability,loss of appetite,body aches,chills,,,,,,
roseola,rash,irritability,headache,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills,,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,red eyes,diarrhea,vomiting,body aches,feverish,,,
norovirus infection,vomiting,headache,fatigue,abdominal pain,body aches,general discomfort,,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,dehydration,chills,rashes,irritability,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills
scarlet fever,fever,sore throat,pale skin around lips,sore and red throat with patches,difficulty swallowing,"tender, enlarged neck glands",nausea or vomiting,abdominal pain,headache and body aches,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,stomach cramps,headache,fatigue,body aches,rashes,chills,joint pain
roseola,runny nose,irritability,cough,diarrhea,loss of appetite,abdominal pain,feverish,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,headache,loss of appetite,muscle aches,body aches,rashes,general discomfort,chills,joint pain
norovirus infection,diarrhea,vomiting,muscle aches,abdominal pain,body aches,rashes,irritability,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,headache,fatigue,dehydration,loss of appetite,body aches,joint pain,,,
roseola,high fever,rash,irritability,swollen lymph nodes,sore throat,cough,diarrhea,abdominal pain,body aches,rashes,feverish,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,fatigue,abdominal pain,dehydration,sweating,general discomfort,fever,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,chills,sweating,rashes,fever,
roseola,runny nose,rash,sore throat,cough,red eyes,diarrhea,loss of appetite,abdominal pain,rashes,feverish,,
norovirus infection,diarrhea,low-grade fever,fatigue,abdominal pain,dehydration,sweating,rashes,irritability,,,,
common cold,sneezing,watering eyes,low-grade fever,mild hacking cough,chills,watery discharge from nose that thickens and turns yellow or green,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,abdominal pain,dehydration,sweating,body aches,rashes,general discomfort,
roseola,sore throat,headache,cough,red eyes,loss of appetite,chills,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,stomach cramps,loss of appetite,feverish,joint pain,,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,loss of appetite,muscle aches,rashes,,,,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,headache,fatigue,abdominal pain,loss of appetite,sweating,body aches,general discomfort,fever,irritability
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,loss of appetite,sore throat,mouth sores,red spots,blisters,cough,sore muscles,difficulty swallowing,
norovirus infection,vomiting,low-grade fever,nausea,fatigue,abdominal pain,dehydration,general discomfort,fever,irritability,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,headache,fatigue,loss of appetite,dehydration,body aches,,,
roseola,rash,swollen lymph nodes,red eyes,diarrhea,vomiting,abdominal pain,body aches,chills,,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,headache,fatigue,dehydration,loss of appetite,muscle aches,rashes,general discomfort,chills,
roseola,high fever,fatigue,sore throat,headache,red eyes,vomiting,loss of appetite,body aches,chills,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,sore throat,mouth sores,cough,headache,general discomfort,mild fever,,,,
norovirus infection,stomach cramps,low-grade fever,nausea,abdominal pain,loss of appetite,sweating,rashes,fever,irritability,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,headache,dehydration,muscle aches,feverish,rashes,,,,
roseola,high fever,irritability,swollen lymph nodes,sore throat,headache,red eyes,vomiting,body aches,rashes,chills,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,stomach cramps,headache,dehydration,muscle aches,body aches,feverish,rashes,joint pain,
roseola,high fever,irritability,swollen lymph nodes,cough,red eyes,vomiting,loss of appetite,abdominal pain,rashes,chills,feverish,
norovirus infection,diarrhea,stomach cramps,nausea,headache,dehydration,chills,fever,irritability,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,sore throat,mouth sores,fatigue,cough,general discomfort,,,,
norovirus infection,diarrhea,headache,abdominal pain,sweating,irritability,,,,,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,chills,general discomfort,fever,irritability
"hand, foot, and mouth disease",fever,sores in mouth,loss of appetite,irritability,mouth sores,red spots,blisters,fatigue,cough,headache,difficulty swallowing,
norovirus infection,vomiting,stomach cramps,muscle aches,headache,abdominal pain,loss of appetite,chills,irritability,,,,
shigellosis (bacillary dysentery),nausea,stomach cramps,fatigue,dehydration,loss of appetite,body aches,rashes,general discomfort,chills,,,
roseola,runny nose,rash,irritability,swollen lymph nodes,sore throat,headache,cough,diarrhea,body aches,chills,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,headache,abdominal pain,sweating,general discomfort,fever,,
norovirus infection,vomiting,low-grade fever,abdominal pain,loss of appetite,dehydration,sweating,irritability,,,,,
norovirus infection,stomach cramps,low-grade fever,headache,fatigue,abdominal pain,loss of appetite,body aches,rashes,general discomfort,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,stomach cramps,fatigue,muscle aches,feverish,general discomfort,joint pain,
roseola,high fever,irritability,fatigue,sore throat,headache,diarrhea,loss of appetite,rashes,chills,feverish,,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,cough,diarrhea,vomiting,abdominal pain,body aches,rashes,,
shigellosis (bacillary dysentery),headache,dehydration,loss of appetite,feverish,general discomfort,joint pain,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,loss of appetite,joint pain,,,,,,,
norovirus infection,low-grade fever,fatigue,abdominal pain,dehydration,body aches,fever,irritability,,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,irritability,red spots,blisters,fatigue,headache,mild fever,difficulty swallowing,,,
"hand, foot, and mouth disease",sore throat,mouth sores,headache,difficulty swallowing,,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,stomach cramps,headache,loss of appetite,body aches,rashes,chills,joint pain,,,,
roseola,runny nose,irritability,fatigue,sore throat,cough,vomiting,loss of appetite,body aches,rashes,feverish,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,headache,dehydration,loss of appetite,muscle aches,feverish,rashes,chills,
mumps,headache,pain while chewing or swallowing,fever,muscle aches,tiredness,loss of appetite,fever,muscle aches,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,abdominal pain,dehydration,chills,sweating,body aches,rashes,fever
norovirus infection,diarrhea,stomach cramps,headache,fatigue,chills,body aches,general discomfort,fever,irritability,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,stomach cramps,headache,dehydration,muscle aches,body aches,general discomfort,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,rashes,chills,,
roseola,high fever,runny nose,irritability,fatigue,headache,chills,,,,,,
norovirus infection,vomiting,low-grade fever,fatigue,abdominal pain,loss of appetite,chills,sweating,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,stomach cramps,fatigue,body aches,rashes,general discomfort,chills,joint pain,,
norovirus infection,diarrhea,low-grade fever,fatigue,abdominal pain,chills,sweating,fever,irritability,,,,
norovirus infection,diarrhea,vomiting,low-grade fever,nausea,headache,dehydration,irritability,,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,fatigue,abdominal pain,sweating,body aches,rashes,,,
shigellosis (bacillary dysentery),diarrhea,nausea,headache,fatigue,muscle aches,body aches,chills,joint pain,,,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,headache,diarrhea,body aches,chills,feverish,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,stomach cramps,fatigue,loss of appetite,body aches,feverish,,,
shigellosis (bacillary dysentery),fever,vomiting,headache,fatigue,dehydration,muscle aches,body aches,rashes,general discomfort,,,
norovirus infection,diarrhea,vomiting,fatigue,sweating,body aches,fever,irritability,,,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,headache,loss of appetite,sweating,body aches,rashes,irritability,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,fatigue,muscle aches,body aches,feverish,rashes,,,,,
norovirus infection,vomiting,low-grade fever,nausea,fatigue,dehydration,chills,sweating,body aches,rashes,general discomfort,irritability,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,diarrhea,vomiting,rashes,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,bloody stools,fatigue,dehydration,loss of appetite,body aches,feverish,rashes,chills,
roseola,runny nose,rash,irritability,cough,red eyes,abdominal pain,feverish,,,,,
norovirus infection,low-grade fever,fatigue,loss of appetite,chills,rashes,general discomfort,fever,,,,,
roseola,high fever,runny nose,irritability,swollen lymph nodes,headache,vomiting,body aches,rashes,feverish,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,dehydration,rashes,fever,irritability,,
shigellosis (bacillary dysentery),nausea,vomiting,stomach cramps,headache,loss of appetite,body aches,general discomfort,chills,joint pain,,,
shigellosis (bacillary dysentery),bloody stools,stomach cramps,headache,rashes,general discomfort,chills,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,headache,abdominal pain,loss of appetite,dehydration,sweating,body aches,rashes,general discomfort,fever
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,stomach cramps,headache,loss of appetite,feverish,general discomfort,,,,,
